Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.9844,5.3166,21.1189,TA,05_06_10_14_16_18_20_,slash the gold cloth into fine ribbons,,7
,,,,,,slash the gold cloth into fine ribbons,,
2,2.3771,3.4439,13.678,AW,01_02_03_10_13_19_20_,in the hot sun,,8
,,,,,,the wide road shimmered in the hot sun,,
3,2.1443,4.461,15.0767,AW,02_03_05_09_10_11_17_,the laid back for now,,7
,,,,,,a lame back kept his score low,,
4,2.2689,5.2444,16.5075,AW,01_06_08_09_10_13_17_,the fish swam in the tank,,7
,,,,,,two blue fish swam in the tank,,
5,2.3705,3.296,15.4552,TA,03_04_05_06_11_13_19_,the child saved the day for us,,8
,,,,,,a child's wit saved the day for us,,
6,2.3866,2.8217,9.0576,TA,02_06_11_12_14_15_20_,the plant grew large and green in the window,,9
,,,,,,the plant grew large and green in the window,,
7,2.4059,5.1311,27.0335,AW,02_05_06_12_14_18_20_,clad in the blue water,,9
,,,,,,a wisp of cloud hung in the blue air,,
8,2.2719,3.2989,20.8177,TA,06_07_09_11_16_17_19_,all gloves are the same size,,6
,,,,,,both brothers wear the same size,,
9,2.6817,3.5765,13.5038,TA,01_02_05_11_12_14_18_,the joy of every child is the small things,,9
,,,,,,a joy to every child is the swan boat,,
10,2.25,3.4698,21.8526,AW,01_02_07_08_13_16_18_,the soft brush the man's brow,,7
,,,,,,the soft cushion broke the man's fall,,
11,2.5649,3.6025,19.7613,TA,01_03_04_11_12_14_19_,the goal is to sew both edges straight,,8
,,,,,,the idea is to sew both edges straight,,
12,2.2183,2.9469,10.1223,AW,01_02_05_07_11_13_17_,the bill was paid every third week,,7
,,,,,,the bill was paid every third week,,
13,2.8855,4.3443,21.9672,AW,01_04_09_11_15_17_19_,watch closely the size of the gas tank,,8
,,,,,,note closely the size of the gas tank,,
14,2.5318,4.0325,27.362,AW,02_04_08_11_16_19_20_,of thirty past the evening ,,9
,,,,,,a pot of tea helps to pass the evening,,
15,2.4054,3.6777,19.1404,TA,01_03_05_14_15_17_20_,hey there this is the best brand of clothing,,8
,,,,,,madam this is the best brand of corn,,
16,2.4263,3.286,18.7092,TA,01_03_07_09_12_17_19_,frozen and watch the stream,,7
,,,,,,all sat frozen and watched the screen,,
17,2.7625,3.1864,10.3855,TA,02_05_10_12_13_15_16_,the shaky barn fell with a large crash,,8
,,,,,,the shaky barn fell with a loud crash,,
18,2.6444,4.1299,11.0174,AW,04_05_08_10_15_17_18_,spilt the log with a quick sharp blow,,8
,,,,,,split the log with a quick sharp blow,,
19,2.736,2.9453,7.6439,TA,02_04_06_12_15_19_20_,the man went to the woods to gather sticks,,9
,,,,,,the man went to the woods to gather sticks,,
20,2.5957,3.2371,8.9566,TA,04_05_07_10_13_16_19_,schools for ladies teach charm and grace,,7
,,,,,,schools for ladies teach charm and grace,,
21,2.8489,3.2671,14.148,AW,02_04_12_13_16_17_20_,the fish twisted and turned in the black lake,,9
,,,,,,the fish twisted and turned on the bent hook,,
22,2.4595,5.1918,22.0058,AW,03_05_14_16_17_18_19_,its hold to kittens,,7
,,,,,,the stray cat gave birth to kittens,,
23,2.1745,3.4033,10.4108,TA,02_04_08_10_12_14_20_,the bell means the game is over,,7
,,,,,,that move means the game is over,,
24,2.4894,3.7221,14.0304,TA,05_06_08_09_13_15_18_,try to trace five lines of the painting ,,9
,,,,,,try to trace the fine lines of the painting,,
25,2.5842,4.0149,29.9891,AW,02_03_04_07_12_14_15_,the bong of the clock woke the sleeping pup,,9
,,,,,,the horn of the car woke the sleeping cop,,
26,2.2322,2.8058,10.4693,TA,03_05_09_12_14_15_16_,the beam dropped down on the workman's head,,8
,,,,,,the beam dropped down on the workmen's head,,
27,2.4558,2.9676,11.9429,AW,04_06_11_12_14_17_19_,the salty breeze came across from the sea,,8
,,,,,,the salt breeze came across from the sea,,
28,2.3925,3.7659,16.4104,AW,01_07_10_12_13_15_16_,the great young actress,,9
,,,,,,he knew the skill of the great young actress,,
29,2.7825,4.9162,17.222,TA,01_09_12_13_14_15_17_,keep the palm dry,,8
,,,,,,the cold drizzle will halt the bond drive,,
30,2.6259,3.2786,20.1015,AW,01_04_10_12_13_17_20_,the tower of dirt fell from the flat bricks,,9
,,,,,,a shower of dirt fell from the hot pipes,,
31,2.5441,3.8606,9.8601,AW,03_04_07_09_10_13_19_,clothes and lodging are free to new men,,8
,,,,,,clothes and lodging are free to new men,,
32,1.8857,2.6444,8.1559,TA,02_04_06_07_13_15_17_,each penny shone like new,,5
,,,,,,each penny shone like new,,
33,2.5018,4.7055,17.478,TA,05_06_09_10_13_15_17_,high fives are best for football fans,,7
,,,,,,high seats are best for football fans,,
34,2.229,3.3616,12.8328,TA,01_02_03_08_10_12_20_,he filled the jar with sticky glue,,7
,,,,,,fill the ink jar with sticky glue,,
35,2.9088,3.6314,15.7266,AW,01_05_06_07_09_16_19_,state in the early days,,9
,,,,,,a king ruled the state in the early days,,
36,2.3875,3.7434,22.0222,AW,04_06_08_09_15_16_17_,the fake clown town rider,,8
,,,,,,the colt reared and threw the tall rider,,
37,2.6636,3.6576,11.105,AW,02_03_08_10_12_19_20_,a cramp is no small danger on a swim,,9
,,,,,,a cramp is no small danger on a swim,,
38,2.5097,4.3017,16.0449,AW,01_08_09_12_15_17_20_,speak aloud to your left shoulder,,7
,,,,,,hoist the load to your left shoulder,,
39,2.2778,2.9652,10.1885,AW,01_02_05_08_12_14_19_,the newborn was tired today at noon,,8
,,,,,,the new girl was fired today at noon,,
40,2.6235,3.0767,21.5336,TA,03_05_08_12_17_18_19_,north winds can hold chicken fevers,,6
,,,,,,north winds bring colds and fevers,,
41,2.227,3.2015,14.5447,AW,02_03_08_10_13_14_16_,he wanted to go where the air is pure,,8
,,,,,,at that high level the air is pure,,
42,2.133,2.5701,8.2606,TA,04_06_07_10_13_18_20_,it takes a good trap to catch a bear,,9
,,,,,,it takes a good trap to capture a bear,,
43,2.6636,3.3126,14.0718,AW,03_07_10_12_14_16_20_,write a fond note to the friend you cherish,,9
,,,,,,write a fond note to the friend you cherish,,
44,2.9937,4.8806,12.784,AW,03_07_08_12_13_16_20_,port is a strong wine with a silky taste,,9
,,,,,,port is a strong wine with a smoky taste,,
45,2.3483,4.3569,31.1312,TA,02_04_06_07_08_11_18_,minced pie is a to children,,8
,,,,,,mince pie is a dish served to children,,
46,1.8993,3.2917,11.8911,TA,01_02_09_12_13_18_19_,the are easy ,,6
,,,,,,our plans right now are hazy,,
47,1.9089,2.7728,11.5483,TA,01_03_15_17_18_19_20_,he cemented and moved it,,8
,,,,,,the cement had dried when he moved it,,
48,2.4894,3.5642,27.2374,TA,02_07_10_12_14_18_19_,friends are used when secrets are said,,7
,,,,,,code is used when secrets are sent,,
49,2.7361,3.9759,16.3991,AW,02_05_07_08_12_15_18_,wine was splattered on the front of his white shirt,,10
,,,,,,mud was spattered on the front of his white shirt,,
50,2.6115,2.803,9.2295,AW,03_06_07_12_14_15_17_,the cup cracked and spilled its contents,,7
,,,,,,the cup cracked and spilled its contents,,
51,2.5169,3.7839,14.5832,TA,06_08_10_11_17_19_20_,look for north on the black compass,,7
,,,,,,ducks fly north but lack a compass,,
52,2.4695,4.6962,22.26,TA,01_02_03_13_15_17_18_,look for to the down areas,,8
,,,,,,serve the hot rum to the tired heroes,,
53,2.478,3.4145,16.3578,TA,05_06_07_08_15_17_19_,the transporter to the big tower,,9
,,,,,,the train brought our hero to the big town,,
54,2.4798,2.9173,9.1354,AW,01_05_08_11_13_16_19_,the show was a flop from the very start,,9
