Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4624,4.0192,19.0347,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,dig deep in the earth for pirates gold,,8
,,,,,,Dig deep in the earth for pirate's gold,,
2,2.5361,3.7299,14.0255,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the mail comes in three batchs per day,,8
,,,,,,The mail comes in three batches per day,,
3,3.2203,4.9539,16.1055,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the  forms in the afternoon,,10
,,,,,,A good book informs of what we ought to know,,
4,2.5031,4.0484,15.8401,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,put the chart on the mantle and tack it down,,10
,,,,,,Put the chart on the mantel and tack it down,,
5,2.4997,4.1602,17.0238,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,hang tinsle thru those branches,,5
,,,,,,Hang tinsel from both branches,,
6,2.9574,4.9454,15.585,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,you can not   in a cold pot,,8
,,,,,,You cannot brew tea in a cold pot,,
7,2.3034,5.7109,18.2304,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the horse  and thrw the tall rider,,8
,,,,,,The horse balked and threw the tall rider,,
8,2.7164,4.0016,22.6091,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,they should have set the lamp firmly in the hole,,10
,,,,,,Be sure to set the lamp firmly in the hole,,
9,2.2881,3.7883,15.6439,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,a smattering of french is worse than none,,8
,,,,,,A smatter of French is worse than none,,
10,2.5178,4.8879,15.2076,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,a gold  is rare and costly,,8
,,,,,,A gold vase is both rare and costly,,
11,2.8858,4.4431,36.7212,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the slab is hun from heavy blocks of slate,,9
,,,,,,The slab was hewn from heavy blocks of slate,,
12,2.4836,2.8857,13.7091,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,many hand help get the job done,,7
,,,,,,Many hands help get the job done,,
13,2.6997,6.0567,10.3124,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,from all sides,,6
,,,,,,Dimes showered down from all sides,,
14,2.5921,3.7587,14.9103,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the night shift men rate extra pay,,7
,,,,,,The night shift men rate extra pay,,
15,2.2588,3.3508,15.1665,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,they sang the same tones at each party,,8
,,,,,,They sang the same tunes at each party,,
16,2.1162,3.0467,16.9423,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the hitch between the horse and cart broke,,8
,,,,,,The hitch between the horse and cart broke,,
17,2.8366,3.3865,18.3461,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the rarest spice comes from the far east,,8
,,,,,,The rarest spice comes from the far East,,
18,2.3137,7.3482,14.4839,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,take the  and slip it under the ,,9
,,,,,,Pick a card and slip it under the pack,,
19,2.65,6.8432,15.5069,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,see the players   to their base,,7
,,,,,,See the player scoot to third base,,
20,2.7296,3.7148,14.1465,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the mule trod the treadmill day and night,,8
,,,,,,The mule trod the treadmill day and night,,
21,2.6838,9.1795,18.4591,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,are different from those for ,,8
,,,,,,Ship maps are different from those for planes,,
22,2.7669,3.8394,18.111,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the pods of peas forment in the bare fields,,8
,,,,,,The pods of peas ferment in bare fields,,
23,2.3017,4.1352,16.5268,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the round  covered the bald spot,,8
,,,,,,A round mat will cover the dull spot,,
24,2.3502,3.077,14.4767,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,cod is the main business of the north shore,,9
,,,,,,Cod is the main business of the north shore,,
25,2.331,5.4058,16.1734,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,slide the bill between the two leaves,,7
,,,,,,Slide the bill between the two leaves,,
26,1.9817,2.9279,10.7517,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the poor boy missed the boat again,,7
,,,,,,The poor boy missed the boat again,,
27,2.5273,2.9053,14.7495,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,we don't like to admit our small faults,,8
,,,,,,We don't like to admit our small faults,,
28,2.0611,6.783,14.6707,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the light to   the dark path,,7
,,,,,,Dots of light betrayed the black cat,,
29,2.1013,3.9631,14.5306,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,pile the coal high in the   corner,,8
,,,,,,Pile the coal high in the shed corner,,
30,2.543,3.3028,17.1424,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the roof should be tilted in a sharp slant,,9
,,,,,,The roof should be tilted at a sharp slant,,
31,2.5163,4.4606,11.2203,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,in strong drink,,7
,,,,,,Dunk the stale biscuits into strong drink,,
