Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4624,7.9516,24.3895,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,he...college goal??,,8
,,,,,,Dig deep in the earth for pirate's gold,,
2,2.5361,4.6849,29.1801,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the news comes in three batches per day,,8
,,,,,,The mail comes in three batches per day,,
3,3.2203,5.4322,14.6719,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the???he had to know,,10
,,,,,,A good book informs of what we ought to know,,
4,2.5031,7.1622,25.7296,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,put ??? and pack it down,,10
,,,,,,Put the chart on the mantel and tack it down,,
5,2.4997,6.1252,19.3567,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? branches,,5
,,,,,,Hang tinsel from both branches,,
6,2.9574,7.2418,18.1934,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? in a cook pot,,8
,,,,,,You cannot brew tea in a cold pot,,
7,2.3034,4.6647,17.9762,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? melts ??? ladder,,8
,,,,,,The horse balked and threw the tall rider,,
8,2.7164,4.0906,15.4423,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,they showed us ??? the hole,,10
,,,,,,Be sure to set the lamp firmly in the hole,,
9,2.2881,6.0447,23.8849,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the sound of ??? is worse than none,,8
,,,,,,A smatter of French is worse than none,,
10,2.5178,5.2837,20.0511,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? is both ??? and costly,,8
,,,,,,A gold vase is both rare and costly,,
11,2.8858,6.1652,44.3478,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the stone was carved from heavy blocks of slate,,9
,,,,,,The slab was hewn from heavy blocks of slate,,
12,2.4836,4.2992,12.8589,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,many hands helped get the job done,,7
,,,,,,Many hands help get the job done,,
13,2.6997,5.6363,10.7801,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? from both sides,,6
,,,,,,Dimes showered down from all sides,,
14,2.5921,3.3569,21.9483,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the night shift ??? made extra pay,,7
,,,,,,The night shift men rate extra pay,,
15,2.2588,4.6021,16.8015,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,they sang the same tunes in each play,,8
,,,,,,They sang the same tunes at each party,,
16,2.1162,3.8194,12.555,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? between the ???,,8
,,,,,,The hitch between the horse and cart broke,,
17,2.8366,3.6133,15.013,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the rarest spice comes from the far east,,8
,,,,,,The rarest spice comes from the far East,,
18,2.3137,4.8284,12.8841,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,take a card and slip it under the pack,,9
,,,,,,Pick a card and slip it under the pack,,
19,2.65,4.2331,11.5528,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,she could ??? without ???,,7
,,,,,,See the player scoot to third base,,
20,2.7296,5.5343,17.0379,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the new traffic ??? knife,,8
,,,,,,The mule trod the treadmill day and night,,
21,2.6838,8.0371,22.1087,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,shipwrecks are different from those of planes,,8
,,,,,,Ship maps are different from those for planes,,
22,2.7669,4.3368,17.4563,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? appears ??? the ballfields,,8
,,,,,,The pods of peas ferment in bare fields,,
23,2.3017,3.9268,9.9665,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? covers ???,,8
,,,,,,A round mat will cover the dull spot,,
24,2.3502,5.3582,22.3415,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,shrimp is the main business of the north shore,,9
,,,,,,Cod is the main business of the north shore,,
25,2.331,3.8074,16.1268,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,slide the bill between the two ???,,7
,,,,,,Slide the bill between the two leaves,,
26,1.9817,3.1713,11.4907,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the poor boy missed the boat again,,7
,,,,,,The poor boy missed the boat again,,
27,2.5273,3.2315,11.4391,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,we don't like to admit our small faults,,8
,,,,,,We don't like to admit our small faults,,
28,2.0611,4.767,19.0934,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? to ?? the black cat,,7
,,,,,,Dots of light betrayed the black cat,,
29,2.1013,5.1762,9.168,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? sharp corner,,8
,,,,,,Pile the coal high in the shed corner,,
30,2.543,3.9679,16.0315,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the roof should be tilted on a sharp slope,,9
,,,,,,The roof should be tilted at a sharp slant,,
31,2.5163,5.1276,14.0473,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? to strong drink,,7
,,,,,,Dunk the stale biscuits into strong drink,,
32,2.4145,3.8291,13.7326,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? was help inside the ??? sheet,,8
