Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4818,4.6608,13.7243,TA,18_16_15_13_12_08_07_,the large clock was,,5
,,,,,,FUR CATS GOES MANY NAMES,,
2,2.2227,10.6683,17.2763,AW,21_20_17_16_11_10_04_,ENDed in ALL,,5
,,,,,,NEED END ALL SUCH MATTER,,
3,2.5306,9.8876,22.583,TA,22_14_10_09_07_05_03_,the young ? drive ,,5
,,,,,,INK STAIN DRIED FINISHED PAGE,,
4,1.9418,7.2112,22.1785,AW,20_15_11_09_08_04_03_,READ WHAT the METER saids,,5
,,,,,,READ JUST WHAT METER SAYS,,
5,2.5515,6.6804,43.839,AW,21_15_14_10_09_07_05_,the rain from cloud SEEMS to be coming down,,5
,,,,,,PLEA FUNDS SEEMS COME AGAIN,,
6,2.388,0,5.7221,AW,21_17_12_11_10_09_03_,,,5
,,,,,,DRESS SUIT WEATHER MOST DAYS,,
7,2.3435,4.5634,12.2669,TA,20_19_18_16_09_07_05_,she took a STRONG DEFENSE,,5
,,,,,,SIEGE WILL CRACK STRONG DEFENSE,,
8,2.7041,5.4799,17.1593,TA,21_17_14_12_08_06_03_,IT's EASY to TELL that's a lie,,5
,,,,,,IT EASY TELL DEPTH WELL,,
9,2.2335,6.102,18.6294,TA,19_17_16_15_11_08_03_,the boss called and siad it was fixed,,5
,,,,,,HOG CRAWLED UNDER HIGH FENCE,,
10,2.9637,12.2158,31.8069,TA,20_17_13_12_09_08_03_,the pile here was a big hutch,,5
,,,,,,BARREL BEER BREW MALT HOPS,,
11,2.442,5.5035,13.5269,TA,19_17_16_14_12_10_07_,the right cover ,,5
,,,,,,RIPE PLUM FIT KING PALATE,,
12,3.0029,5.7019,10.7495,AW,20_13_12_10_09_08_03_,high risks,,5
,,,,,,FARMER SWAPPED HORSE BROWN OX,,
13,2.3702,5.3618,17.6812,AW,20_15_12_09_08_05_03_,? something was SOUR but TASTE odd,,5
,,,,,,DILL PICKLES SOUR TASTE FINE,,
14,1.8672,6.9899,13.2373,TA,22_17_14_10_09_05_04_,the lumber jack,,5
,,,,,,RAKE RUBBISH UP BURN IT,,
15,2.301,5.8108,23.1541,AW,22_21_19_09_08_06_03_,IF you read me the SPEECH is nice,,5
,,,,,,IF MUMBLE YOUR SPEECH LOST,,
16,2.6715,13.0851,23.8445,AW,20_18_14_12_07_06_04_,the BEST record is to FIX it,,5
,,,,,,BEST METHOD FIX PLACE CLIPS,,
17,2.3015,5.3675,35.4156,AW,19_18_15_13_07_04_03_,fold the SHEETs in half,,5
,,,,,,TEAR THIN SHEET YELLOW PAD,,
18,2.2172,5.5505,21.6464,TA,22_21_17_14_13_12_03_,the bird stopped wandering,,5
,,,,,,BIRCH LOOKED STARK WHITE LONESOME,,
19,2.723,6.8047,15.4602,AW,22_21_18_12_09_08_03_,? lasted a FEW DAYS,,5
,,,,,,BLOOM ROSE LASTS FEW DAYS,,
20,2.0862,0,3.99,TA,10_09_08_07_05_04_03_,,,5
,,,,,,BETTER HASH MADE RARE BEEF,,
21,2.3977,0,4.1761,AW,16_15_12_11_07_06_03_,,,5
,,,,,,STEEP TRAIL PAINFUL OUR FEET,,
22,2.5436,0,9.1708,TA,22_20_18_16_15_09_08_,,,5
,,,,,,DUNK STALE BISCUITS STRONG DRINK,,
23,2.3137,7.195,19.9389,TA,21_17_16_14_06_05_04_,take the ? and SLIP it UNDER the,,5
,,,,,,PICK CARD SLIP UNDER PACK,,
24,2.0217,3.8191,14.1146,TA,18_16_15_13_11_08_04_,the car wreck happen right here,,5
,,,,,,TERM ENDED LATE JUNE YEAR,,
25,2.2477,5.6668,41.4015,TA,21_19_17_15_07_05_04_,TAKE the whiny ? to REACH the LAKE,,5
,,,,,,TAKE WINDING PATH REACH LAKE,,
26,2.2788,0,5.1722,AW,17_15_13_12_09_07_05_,,,5
,,,,,,GRAY MARE WALKED BEFORE COLT,,
27,2.6234,8.5304,20.6419,TA,22_21_16_13_08_04_03_,the RED-purle ? on the STAGE,,5
,,,,,,RED PAPER BRIGHTENED DIM STAGE,,
28,3,5.0899,17.7133,TA,21_20_15_14_13_12_11_,healthy FIRES require? and HEAT,,5
,,,,,,SMOKEY FIRES LACK FLAME HEAT,,
