Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4884,4.2541,9.9817,TA,02_03_05_08_,test and pick up the salt,3,8
,,,,,,Pack the kits and don't forget the salt,,
2,2.8051,5.0622,9.197,TA,01_02_05_07_,school's been,0,8
,,,,,,The leaf drifts along with a slow spin,,
3,2.8673,5.7465,6.2903,TA,03_04_05_08_,no,0,10
,,,,,,He put his last cartridge into the gun and fired,,
4,2.7196,3.3881,11.4598,TA,01_04_05_08_,the soup is making a pile of dishes,4,10
,,,,,,The sink is the thing in which we pile dishes,,
5,2.9074,3.8571,14.1529,TA,01_02_04_07_,he lent his coat to the tall dark stranger,8,9
,,,,,,He lent his coat to the tall gaunt stranger,,
6,2.3819,3.9432,13.6628,AW,01_04_06_08_,the seat in the wall    to him,3,10
,,,,,,A chink in the wall allowed a draft to blow,,
7,2.3297,3.6215,4.2052,TA,01_02_04_05_,no,0,7
,,,,,,Flax makes a fine brand of paper,,
8,1.8299,3.9612,6.6489,AW,02_04_05_06_,try to go,0,8
,,,,,,Take a chance and win a china doll,,
9,2.8982,5.8246,8.7682,TA,01_02_03_07_,sandy wrist,1,9
,,,,,,A rich farm is rare in this sandy waste,,
10,2.4989,3.7142,12.2578,AW,01_02_04_08_,it's a  to the clothes,2,8
,,,,,,It's a dense crowd in two distinct ways,,
11,2.9098,3.7764,17.7841,TA,01_02_05_08_,two poles are flashing at the ,1,7
,,,,,,Cheap clothes are flashy but don't last,,
12,2.7481,3.9593,5.6311,TA,02_03_05_06_,break,0,8
,,,,,,Trample the spark else the flames will spread,,
13,2.6427,3.4298,8.5255,TA,02_05_06_08_,the best have it all,1,7
,,,,,,The brass tube circled the high wall,,
14,3.5484,4.2522,6.924,TA,02_03_04_07_,waters,0,11
,,,,,,A cruise in warm waters in a sleek yacht is fun,,
15,2.5541,3.2936,10.2292,AW,02_06_07_08_,geese and chickens,0,6
,,,,,,New pants lack cuffs and pockets,,
16,3.0219,6.1421,8.5498,TA,01_02_04_06_,lower cold,0,10
,,,,,,Hurdle the pit with the aid of a long pole,,
17,2.5917,4.6494,9.7131,AW,03_04_06_08_,stain on the round comet,4,9
,,,,,,A big wet stain was on the round carpet,,
18,2.377,4.2486,8.4965,TA,01_02_03_08_,many things,1,6
,,,,,,His wide grin earned many friends,,
19,2.7106,4.0652,6.8808,AW,01_06_07_08_,and twisted,2,10
,,,,,,The point of the steel pen was bent and twisted,,
20,3.1583,3.7819,4.3416,TA,01_02_03_06_,no,0,8
,,,,,,The vast space stretched into the far distance,,
21,2.3308,3.4533,5.165,AW,01_02_03_04_,hospital,0,6
,,,,,,Fake stones shine but cost little,,
22,2.3092,3.4181,11.8177,AW,02_04_05_07_,the voice will not make it to the finish,4,9
,,,,,,This horse will nose his way to the finish,,
23,2.6839,4.0234,7.8791,AW,01_04_05_07_,not to spend much,4,10
,,,,,,The way to save money is not to spend much,,
24,2.3836,4.2945,8.6622,AW,01_03_04_05_,but had no bottom,4,8
,,,,,,The chair looked strong but had no bottom,,
25,2.5898,4.9246,7.1651,AW,02_03_04_05_,and added,1,8
,,,,,,There is a lag between thought and act,,
