Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3833,4.268,9.8997,TA,06_07_09_11_15_16_,up the road,2,10
,,,,,,They are men who walk the middle of the road,,
2,2.4626,4.3301,4.3306,AW,01_05_06_10_11_12_,,0,8
,,,,,,The empty flask stood on the tin tray,,
3,2.4818,5.3906,8.9343,AW,03_04_05_06_15_16_,cross,0,8
,,,,,,Bring your best compass to the third class,,
4,2.4944,5.4527,11.5564,TA,04_07_09_10_14_15_,take the      weekly,2,8
,,,,,,Jerk the rope and the bell rings weakly,,
5,1.7373,4.2383,4.2387,TA,01_05_06_10_11_12_,,0,8
,,,,,,Write at once or you may forget it,,
6,2.2309,3.516,10.3078,AW,01_02_05_08_09_11_,for pleasurre,2,6
,,,,,,Read verse out loud for pleasure,,
7,2.0152,3.8001,3.8006,AW,01_05_08_09_10_13_,,0,5
,,,,,,Pure bred poodles have curls,,
8,2.5146,5.1866,13.4102,TA,03_06_10_11_14_15_,less than half   ,3,8
,,,,,,Women form less than half of the group,,
9,2.1886,7.1187,7.1191,AW,01_02_10_11_12_15_,,0,7
,,,,,,The just claim got the right verdict,,
10,2.198,3.6231,11.4868,TA,02_04_10_11_12_14_,take the shears,1,7
,,,,,,Take two shares as a fair profit,,
11,2.6526,5.1403,5.1407,TA,03_04_05_10_13_15_,,0,7
,,,,,,The stale smell of old beer lingers,,
12,2.4345,4.3845,13.8561,TA,01_05_06_10_12_13_,he asked    to vouch for him,6,8
,,,,,,He asks no person to vouch for him,,
13,2.4646,4.4325,7.7123,TA,03_06_09_12_14_15_,plate,1,9
,,,,,,Pour the stew from the pot into the plate,,
14,2.3106,4.6322,15.064,TA,02_03_09_12_15_16_,he made    easier,0,7
,,,,,,To make pure ice you freeze water,,
15,2.7817,5.8501,11.3698,AW,01_03_05_10_13_16_,for making boards,3,9
,,,,,,A saw is a tool used for making boards,,
